id,coder,coder_number,coder_text,pmcid,protocol,include,participants,participants_text,journal,publisher,pub_year,impact_factor,verbatim,power_calc_type,power_calc_type_text,multiple,stats_knowledge,version,version_text,power,power_text,alpha,alpha_text,sample_size,sample_size_text,effect_size_type,effect_size_type_other_standardized_text,effect_size_type_other_nonstandardized_text,effect_size_value,effect_size_value_text,stat_test,stat_test_other_regression_text,stat_test_other_nonregression_text,other_info_missing,reproducible,reproducible_text,justification,justification_text,mult_compare,mult_compare_text,anova_within_between,match,match_text,error,error_text,impact,comments_calc,comments_general
129,resolveNotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tb,,,,nc,,,,,nc,,,,
130,EZ,1,NA,PMC6709510,No,Include,Humans,NA,Clinical Interventions in Aging,,2019,2.505,"The calculated sample size, using a G*power version 3.1. program for linear multiple regression analysis, was 160 participants under the conditions of 8 predictor variables, a type I error of 0.05, a power of 0.95, and an effect size of 0.15. We planned to collect a total of 176 participants, considering a 10% dropout rate. A total of 176 participants participated in the data collection, and all 176 participants met the cognitive requirements (MMSE score, ≥18). Finally, data from 175 participants were analyzed for the study results, with one participant excluded due to incomplete answers.",Solves for sample size (often called a priori),NA,No,Probably,Yes,3.1,Yes,0.95,Yes (0.05),NA,Yes,160,No,,,Yes,0.15,other regression (please describe),linear multiple regression analysis,NA,H0 rho2,"Yes, but I've had to make some assumptions. (please list the assumptions you made)",H0 rho2 = 0,No justification or basis is reported,NA,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",,No,Yes,,No,,,,
130,RTT,2,NA,PMC6709510,No,Include,Humans,NA,Clinical Interventions in Aging,,2019,2.505,"The calculated sample size, using a G*power version 3.1. program for linear multiple regression analysis, was 160 participants under the conditions of 8 predictor variables, a type I error of 0.05, a power of 0.95, and an effect size of 0.15. We planned to collect a total of 176 participants, considering a 10% dropout rate. ",Solves for sample size (often called a priori),NA,No,Probably,Yes,3.1,Yes,0.95,Yes (0.05),NA,Yes,160,No,,,Yes,0.15,other regression (please describe),linear multiple regression analysis,NA,,"Yes, but I've had to make some assumptions. (please list the assumptions you made)","There are two options for ""multipl elinear regressions""",No justification or basis is reported,NA,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).","ask hugo. I'm not sure if by putting in a greater number of predictors into Gpower, that the software acconut for the multiple comparisons.",No,Yes,,No,,,,
130,EZ/RTT,,NA,PMC6709510,No,Include,Humans,NA,Clinical Interventions in Aging,DOVE MEDICAL PRESS LTD,2019,2.505,"The calculated sample size, using a G*power version 3.1. program for linear multiple regression analysis, was 160 participants under the conditions of 8 predictor variables, a type I error of 0.05, a power of 0.95, and an effect size of 0.15. We planned to collect a total of 176 participants, considering a 10% dropout rate. ",Solves for sample size (often called a priori),NA,No,Probably,Yes,3.1,Yes,0.95,Yes (0.05),NA,Yes,160,No,,,Yes,0.15,other regression (please describe),linear multiple regression analysis,NA,,"Yes, but I've had to make some assumptions. (please list the assumptions you made)","There are two options for ""multipl elinear regressions""",No justification or basis is reported,NA,"No, and there is no reason to account for multiple comparisons (e.g., there is only one analysis, or this analysis is clearly demarcated as the primary analysis)",,No,Yes,,No,,,,
130,resolveNotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,based on HPs response to a previous power calc using linear regression,,,,,,,,,
131,EZ,1,NA,PMC7507625,No,Include,Humans,NA,BMC Geriatrics,,2020,2.818,"This study used a randomized controlled trial design. We used the primary outcome loneliness to calculate the sample size needed. We adopted the effect size of 0.6 from a similar peer-based trial conducted among socially isolated Hong Kong Chinese older adults to reduce their loneliness [28]. With a power of 0.8 (alpha = 0.05, two-sided), 26 participants for each group and 52 in total were needed to detect such an effect size. G*Power 3.1 was used to calculate the sample size [29]. Taking the potential dropout into consideration, we aimed for 30 participants for each group and 60 in total for the baseline. Intervention group participants received an eight-week peer-based intervention.",Solves for sample size (often called a priori),NA,Yes,Yes,Yes,3.1,Yes (0.80),NA,Yes (0.05),NA,Yes,52,No,,,Yes,0.6,the statistical test is NOT reported,,NA,,No,,No justification or basis is reported,NA,"No, and there is no reason to account for multiple comparisons (e.g., there is only one analysis, or this analysis is clearly demarcated as the primary analysis)",,No,Yes,,Unsure (there's not enough information to reasonably code yes or no).,,,,
131,RTT,2,NA,PMC7507625,No,Include,Humans,NA,BMC Geriatrics,,2020,2.818,"We used the primary outcome loneliness to calculate the sample size needed. We adopted the effect size of 0.6 from a similar peer-based trial conducted among socially isolated Hong Kong Chinese older adults to reduce their loneliness [28]. With a power of 0.8 (alpha = 0.05, two-sided), 26 participants for each group and 52 in total were needed to detect such an effect size. G*Power 3.1 was used to calculate the sample size [29]. Taking the potential dropout into consideration, we aimed for 30 participants for each group and 60 in total for the baseline.",Solves for sample size (often called a priori),NA,No,Yes,Yes,3.1,Yes (0.80),NA,Yes (0.05),NA,Yes,52,No,,,Yes,0.6,the statistical test is NOT reported,,NA,,No,,Previously published research,NA,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",,Unsure whether the power calculation was for an ANOVA or another type of statistical test.,Unsure (there's not enough information to reasonably code yes or no).,,Unsure (there's not enough information to reasonably code yes or no).,,,,
131,EZ/RTT,,NA,PMC7507625,No,Include,Humans,NA,BMC Geriatrics,BMC,2020,2.818,"We used the primary outcome loneliness to calculate the sample size needed. We adopted the effect size of 0.6 from a similar peer-based trial conducted among socially isolated Hong Kong Chinese older adults to reduce their loneliness [28]. With a power of 0.8 (alpha = 0.05, two-sided), 26 participants for each group and 52 in total were needed to detect such an effect size. G*Power 3.1 was used to calculate the sample size [29]. Taking the potential dropout into consideration, we aimed for 30 participants for each group and 60 in total for the baseline.",Solves for sample size (often called a priori),NA,No,Yes,Yes,3.1,Yes (0.80),NA,Yes (0.05),NA,Yes,52,No,,,Yes,0.6,the statistical test is NOT reported,,NA,,No,,Previously published research,NA,"No, and there is no reason to account for multiple comparisons (e.g., there is only one analysis, or this analysis is clearly demarcated as the primary analysis)",,Unsure whether the power calculation was for an ANOVA or another type of statistical test.,Unsure (there's not enough information to reasonably code yes or no).,,Unsure (there's not enough information to reasonably code yes or no).,,,,
131,resolveNotes,,,,,,,,,,,,,,,nc,,,,,,,,,,,,,,,,,,,,,,,,, nc,nc,,,,,,
132,EZ,1,NA,PMC6474749,No,Include,Humans,NA,REVISTA DE SAUDE PUBLICA,,2019,1.911,"One-hundred and eighty-one women previously diagnosed with BC, undergoing treatment or after treatment at the Oncological Research Center (CEPON) in the city of Florianópolis, Santa Catarina, Brazil, voluntarily participated. The sample size was calculated using the software G*Power 3.1.9.2 10 . Considering a significance level of 5%, power of 80%, a prevalence ratio effect size of 1.62, and the Poisson Regression test, 182 participants were required.",Solves for sample size (often called a priori),NA,No,Probably,Yes,3.1.9.2,Yes (0.80),NA,Yes (0.05),NA,Yes,182,"Other: Non-standardized (e.g., 5 points on a questionnaire scale).",,prevalence ratio effect size,Yes,1.62,the statistical test is NOT reported,,NA,,No,,No justification or basis is reported,NA,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",,No,No,,Unsure (there's not enough information to reasonably code yes or no).,,,,
132,RTT,2,NA,PMC6474749,No,Include,Humans,NA,REVISTA DE SAUDE PUBLICA,,2019,1.911,"The sample size was calculated using the software G*Power 3.1.9.2 10 . Considering a significance level of 5%, power of 80%, a prevalence ratio effect size of 1.62, and the Poisson Regression test, 182 participants were required.",Solves for sample size (often called a priori),NA,No,Probably,Yes,3.1.9.2,Yes (0.80),NA,Yes (0.05),NA,Yes,182,ratios (e.g.odds ratio or risk ratio),,,Yes,1.62,other regression (please describe),Poisson Regression test,NA,"tails, base rate, mean exposure, and several others (see ""Poisson Regression"" in GPower for all the parameters needed).",No,,No justification or basis is reported,NA,Unsure,,No,Yes,,Unsure (there's not enough information to reasonably code yes or no).,,,Get hugo to code this article.,
132,EZ/RTT,,NA,PMC6474749,No,Include,Humans,NA,REVISTA DE SAUDE PUBLICA,REVISTA DE SAUDE PUBLICA,2019,1.911,"The sample size was calculated using the software G*Power 3.1.9.2 10 . Considering a significance level of 5%, power of 80%, a prevalence ratio effect size of 1.62, and the Poisson Regression test, 182 participants were required.",Solves for sample size (often called a priori),NA,No,Probably,Yes,3.1.9.2,Yes (0.80),NA,Yes (0.05),NA,Yes,182,ratios (e.g.odds ratio or risk ratio),,,Yes,1.62,other regression (please describe),Poisson Regression test,NA,"tails, base rate, mean exposure, and several others (see ""Poisson Regression"" in GPower for all the parameters needed).",No,,No justification or basis is reported,NA,Unsure,,No,Yes,,Unsure (there's not enough information to reasonably code yes or no).,,,Get hugo to code this article.,
132,resolveNotes,,,,,,,,,,,,,,,,,,,,,,,,,nc,,,,,,,,,,,,,nc,,,,,,,,,
133,EZ,1,NA,PMC8933355,No,Exclude,,NA,,,NA,NA,,,NA,,,,,,NA,,NA,,NA,,,,,,,,NA,,,,,NA,,,,,,,,,,
133,RTT,2,NA,PMC8933355,No,Exclude,,NA,,,NA,NA,,,NA,,,,,,NA,,NA,,NA,,,,,,,,NA,,,,,NA,,,,,,,,,,
133,EZ/RTT,,NA,PMC8933355,No,Exclude,,NA,,,NA,NA,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,resolveNotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,EZ,1,NA,PMC8504855,No,Include,Humans,NA,Frontiers in Psychology,,2021,2.067,"Based on a power analysis (G*Power; Faul et al., 2007), aiming for 80% power for small to medium effects of d=0.35 (p<0.05), we targeted a minimum sample size of 260 participants. All data exclusions, manipulations, and measures used in the study are reported. Participants were recruited via Prolific,1 the Web site of the German edition of “Psychology Today,” and private sources. Participants on Prolific were compensated with 1,90 £, students of the Regensburg university received course credit, and all other participants received no compensation. 282 participants (149 via Prolific and 133 via other sources) recalled the required memories before providing POTJs and were included in the final sample. Mean age was 27.32years (SD=9.56), 33.3% were male, 62.8% female, and 3.9% did not disclose their gender. 52.4% of the participants were students, 37.3% employed, and 7.4% self-employed [the rest spread among other categories, e.g., household work, unemployed, or vocational training (multiple options could be selected)].",Solves for sample size (often called a priori),NA,No,Yes,No,,Yes (0.80),NA,Yes (0.05),NA,Yes,260,d,,,Yes,0.35,the statistical test is NOT reported,,NA,"Based on a power analysis (G*Power; Faul et al., 2007), aiming for 80% power for small to medium effects of d=0.35 (p<0.05), we targeted a minimum sample size of 260 participants. All data exclusions, manipulations, and measures used in the study are reported. Participants were recruited via Prolific,1 the Web site of the German edition of “Psychology Today,” and private sources. Participants on Prolific were compensated with 1,90 £, students of the Regensburg university received course credit, and all other participants received no compensation. 282 participants (149 via Prolific and 133 via other sources) recalled the required memories before providing POTJs and were included in the final sample. Mean age was 27.32years (SD=9.56), 33.3% were male, 62.8% female, and 3.9% did not disclose their gender. 52.4% of the participants were students, 37.3% employed, and 7.4% self-employed [the rest spread among other categories, e.g., household work, unemployed, or vocational training (multiple options could be selected)].",No,,"Conventions of small, medium, and large effect sizes (e.g., ""we powered for a medium effect size of Cohen's d = 0.5"")",NA,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",,No,No,,Yes,well they call 0.35 a medium effect size which is 0.5 for d.,,,
134,RTT,2,NA,PMC8504855,No,Include,Humans,NA,Frontiers in Psychology,,2021,2.067,"Based on a power analysis (G*Power; Faul et al., 2007), aiming for 80% power for small to medium effects of d=0.35 (p<0.05), we targeted a minimum sample size of 260 participants. ",Solves for sample size (often called a priori),NA,No,Yes,No,,Yes (0.80),NA,Yes (0.05),NA,Yes,260,d,,,Yes,0.35,the statistical test is NOT reported,,NA,,"Yes, but I've had to make some assumptions. (please list the assumptions you made)",two-tailed; independent sample t-test,"Conventions of small, medium, and large effect sizes (e.g., ""we powered for a medium effect size of Cohen's d = 0.5"")",NA,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",,No,Yes,there were two conditions and they ran t-tests. (assuming my assumptions for the reproduction were correct),No,,,,
134,EZ/RTT,,NA,PMC8504855,No,Include,Humans,NA,Frontiers in Psychology,FRONTIERS MEDIA SA,2021,2.067,"Based on a power analysis (G*Power; Faul et al., 2007), aiming for 80% power for small to medium effects of d=0.35 (p<0.05), we targeted a minimum sample size of 260 participants. ",Solves for sample size (often called a priori),NA,No,Yes,No,,Yes (0.80),NA,Yes (0.05),NA,Yes,260,d,,,Yes,0.35,the statistical test is NOT reported,,NA,,"Yes, but I've had to make some assumptions. (please list the assumptions you made)",two-tailed; independent sample t-test,"Conventions of small, medium, and large effect sizes (e.g., ""we powered for a medium effect size of Cohen's d = 0.5"")",NA,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",,No,Yes,there were two conditions and they ran t-tests. (assuming my assumptions for the reproduction were correct),No,,,,
134,resolveNotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nc,,,,,,,tb,,"Given the convention of d=0.2 (small) and d=0.5(medium), I think it's fine to call 0.35 medium.",,,,
135,EZ,1,NA,PMC7196744,No,Include,Humans,NA,Journal of Sports Science and Medicine,,2020,1.774,"In order to estimate the number of participants needed in the study, a sample size calculation was performed using G*Power Software version 3.1.9.6 (Düsseldorf, Germany) (Faul et al., 2007) for a repeated measures ANOVA (within factors), using an α rejection criterion of 0.05 and 0.95 (1-β) power, and an average correlation of rho = 0.50 between the repeated measures for 4 within subject measurements to detect a medium effect (f = 0.5). The power calculation indicated that a minimum of 12 participants was required to be able to find such an effect.",Solves for sample size (often called a priori),NA,No,Yes,Yes,3.1.9.6,Yes,0.95,Yes (0.05),NA,Yes,12,f,,,Yes,0.5,ANOVA,,NA,"previously they said 2 groups
average correlation of rho = 0.50 between the repeated measures for 4 within subject measurements to detect a medium effect (f = 0.5).","Yes, based solely on the information in the article or its supplementary material",,"Conventions of small, medium, and large effect sizes (e.g., ""we powered for a medium effect size of Cohen's d = 0.5"")",NA,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",,"Yes, but the researchers use the default option.",Yes,,Unsure (there's not enough information to reasonably code yes or no).,,72 is the required sample size if you use the Cohen setting 6 times larger.,,
135,RTT,2,NA,PMC7196744,No,Include,Humans,NA,Journal of Sports Science and Medicine,,2020,1.774,"The study was a controlled trial in which subjects were randomly assigned to either an experimental (BFR n = 6) or control group (non-BFR n = 6) for ten sessions of game-specific futsal training. In order to estimate the number of participants needed in the study, a sample size calculation was performed using G*Power Software version 3.1.9.6 (Düsseldorf, Germany) (Faul et al., 2007) for a repeated measures ANOVA (within factors), using an α rejection criterion of 0.05 and 0.95 (1-β) power, and an average correlation of rho = 0.50 between the repeated measures for 4 within subject measurements to detect a medium effect (f = 0.5). The power calculation indicated that a minimum of 12 participants was required to be able to find such an effect.",Solves for sample size (often called a priori),NA,No,Yes,Yes,3.1.9.6,Yes,0.95,Yes (0.05),NA,Yes,12,f,,,Yes,0.5,ANOVA,,NA,withing/between; default option.,"Yes, but I've had to make some assumptions. (please list the assumptions you made)",chose default option.,No justification or basis is reported,NA,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",,"Yes, but the researchers use the default option.",Yes,,No,,f(V) 1.4142  .... or sample size of 72 needed,,
135,EZ/RTT,,NA,PMC7196744,No,Include,Humans,NA,Journal of Sports Science and Medicine,JOURNAL SPORTS SCIENCE & MEDICINE,2020,1.774,"The study was a controlled trial in which subjects were randomly assigned to either an experimental (BFR n = 6) or control group (non-BFR n = 6) for ten sessions of game-specific futsal training. In order to estimate the number of participants needed in the study, a sample size calculation was performed using G*Power Software version 3.1.9.6 (Düsseldorf, Germany) (Faul et al., 2007) for a repeated measures ANOVA (within factors), using an α rejection criterion of 0.05 and 0.95 (1-β) power, and an average correlation of rho = 0.50 between the repeated measures for 4 within subject measurements to detect a medium effect (f = 0.5). The power calculation indicated that a minimum of 12 participants was required to be able to find such an effect.",Solves for sample size (often called a priori),NA,No,Yes,Yes,3.1.9.6,Yes,0.95,Yes (0.05),NA,Yes,12,f,,,Yes,0.5,ANOVA,,NA,withing/between; default option.,"Yes, but I've had to make some assumptions. (please list the assumptions you made)",chose default option.,No justification or basis is reported,NA,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",,"Yes, but the researchers use the default option.",Yes,,Yes,"They call f = 0.5 a medium effect size, without justification (generally f=0.25 is considered medium and f=0.4 is considered large)",f(V) 1.4142  .... or sample size of 72 needed,,
135,resolveNotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tb,,,,,,,,,nc,,,,
136,EZ,1,NA,PMC8534421,No,Include,Humans,NA,Children-Basel,,2021,2.078,"A priori power analysis performed using the software G*Power version 3.1.9.7 [45,46], deemed the sample size to be adequate to identify large effect sizes (Cohen’s d = 1.3) when considering two samples (allocation ration N2/N1 = 3, N2 = 33, N1 = 11, total n required = 44), α = 0.05, power = 0. The Cohen’s effect size d is reported in each t-test performed, and should be interpreted according to Cohen’s [47] guidelines, in which 0.20 regards a small, 0.50 a moderate, and 0.80 a large effect size. A Chi-square association test was also performed to further explore the associations between the classes and nominal sociodemographic- (parents’ employment status, and area of living, and children’s sex and family type) and CPS referral-related (reason for referral and any prior referral) variables.",Solves for sample size (often called a priori),NA,No,Yes,Yes,3.1.9.7,Yes,0,Yes (0.05),NA,Yes,44,d,,,Yes,1.3,t-test,,NA,,No,,No justification or basis is reported,NA,"No, and there is no reason to account for multiple comparisons (e.g., there is only one analysis, or this analysis is clearly demarcated as the primary analysis)",,No,Yes,,Unsure (there's not enough information to reasonably code yes or no).,,,,
136,RTT,2,NA,PMC8534421,No,Include,Humans,NA,Children-Basel,,2021,2.078,"The independent sample t-tests were performed using the software IBM SPSS (v0.27) [41]. A priori power analysis performed using the software G*Power version 3.1.9.7 [45,46], deemed the sample size to be adequate to identify large effect sizes (Cohen’s d = 1.3) when considering two samples (allocation ration N2/N1 = 3, N2 = 33, N1 = 11, total n required = 44), α = 0.05, power = 0. The Cohen’s effect size d is reported in each t-test performed, and should be interpreted according to Cohen’s [47] guidelines, in which 0.20 regards a small, 0.50 a moderate, and 0.80 a large effect size",Solves for effect size (often called sensitivity),NA,,,,,,NA,,NA,,NA,,,,,,,,NA,,,,,NA,,,,,,,,,,
136,EZ/RTT,,NA,PMC8534421,No,Include,Humans,NA,Children-Basel,MDPI,2021,2.078,"The independent sample t-tests were performed using the software IBM SPSS (v0.27) [41]. A priori power analysis performed using the software G*Power version 3.1.9.7 [45,46], deemed the sample size to be adequate to identify large effect sizes (Cohen’s d = 1.3) when considering two samples (allocation ration N2/N1 = 3, N2 = 33, N1 = 11, total n required = 44), α = 0.05, power = 0. The Cohen’s effect size d is reported in each t-test performed, and should be interpreted according to Cohen’s [47] guidelines, in which 0.20 regards a small, 0.50 a moderate, and 0.80 a large effect size",Solves for effect size (often called sensitivity),NA,,,,,,NA,,NA,,NA,,,,,,,,NA,,,,,NA,,,,,,,,,,
136,resolveNotes,,,,,,,,,,,,,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,EZ,1,NA,PMC6398714,Yes,Include,Humans,NA,BMJ Open,,2019,2.413,"Using G*Power V.3.1,35 it was calculated that a total sample of 105 participants will be needed. This will account for an attrition rate of 35% between baseline and 3-month follow-up. This remaining sample of 68 will provide 80% statistical power to detect a moderate (d=0.60) group by time point interaction effect at postintervention and follow-up time points with a 5% type I error rate, and a two-sided tail. This effect is conservative relative to previous findings of MeST outcomes relative to a control group.",Solves for sample size (often called a priori),NA,No,Yes,Yes,3.1,Yes (0.80),NA,Yes (0.05),NA,Yes,68,d,,,Yes,0.6,the statistical test is NOT reported,,NA,,No,,"Conventions of small, medium, and large effect sizes (e.g., ""we powered for a medium effect size of Cohen's d = 0.5"")",NA,"No, and there is no reason to account for multiple comparisons (e.g., there is only one analysis, or this analysis is clearly demarcated as the primary analysis)",,Unsure whether the power calculation was for an ANOVA or another type of statistical test.,The article is a protocol,,Unsure (there's not enough information to reasonably code yes or no).,,,,
137,RTT,2,NA,PMC6398714,Yes,Include,Humans,NA,BMJ Open,,2019,2.413,"Using G*Power V.3.1,35 it was calculated that a total sample of 105 participants will be needed. This will account for an attrition rate of 35% between baseline and 3-month follow-up. This remaining sample of 68 will provide 80% statistical power to detect a moderate (d=0.60) group by time point interaction effect at postintervention and follow-up time points with a 5% type I error rate, and a two-sided tail. This effect is conservative relative to previous findings of MeST outcomes relative to a control group.11",Solves for sample size (often called a priori),NA,No,Yes,Yes,3.1,Yes (0.80),NA,Yes (0.05),NA,Yes,68,d,,,Yes,0.6,the statistical test is NOT reported,,NA,,No,,"Conventions of small, medium, and large effect sizes (e.g., ""we powered for a medium effect size of Cohen's d = 0.5"")",NA,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",several primary outcomes,Unsure whether the power calculation was for an ANOVA or another type of statistical test.,Unsure (there's not enough information to reasonably code yes or no).,,Yes,"The power calc give a cohen's d, but says it's looking for an interaction effect.",,,
137,EZ/RTT,,NA,PMC6398714,Yes,Include,Humans,NA,BMJ Open,BMJ PUBLISHING GROUP,2019,2.413,"Using G*Power V.3.1,35 it was calculated that a total sample of 105 participants will be needed. This will account for an attrition rate of 35% between baseline and 3-month follow-up. This remaining sample of 68 will provide 80% statistical power to detect a moderate (d=0.60) group by time point interaction effect at postintervention and follow-up time points with a 5% type I error rate, and a two-sided tail. This effect is conservative relative to previous findings of MeST outcomes relative to a control group.11",Solves for sample size (often called a priori),NA,No,Yes,Yes,3.1,Yes (0.80),NA,Yes (0.05),NA,Yes,68,d,,,Yes,0.6,the statistical test is NOT reported,,NA,,No,,"Conventions of small, medium, and large effect sizes (e.g., ""we powered for a medium effect size of Cohen's d = 0.5"")",NA,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",several primary outcomes,Unsure whether the power calculation was for an ANOVA or another type of statistical test.,The article is a protocol,,Yes,"The power calc give a cohen's d, but says it's looking for an interaction effect.",,,
137,resolveNotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,EZ,1,NA,PMC8718735,No,Include,Non-human animals (this includes both in vivo and in vitro studies),NA,Animal Nutrition,,2022,6.383,"Power analyses calculated before the start of the experiment identified a minimum total sample of 8 cows. Each group was to have a power of 82.9% with a type I error of 5% using G∗Power 3.1.9.4 based on F-test of repeated measures between factors ANOVA. The average ruminal pH and VFA were analyzed by One-way repeated measures ANOVA in IBM statistics SPSS V26.0 (Chicago, IL, USA). The models included the main effects of the group (SUS vs TOL), the cow was considered as the random effect, and the hours after morning feeding was considered as the repeated measured. The effects were deemed significant at P < 0.05. The DMI, milk yield, and milk composition were analyzed using an independent sample t-test procedure. The non-parametric Mann–Whitney test was carried out to test the alpha-diversity and relative abundance of the microbiota. P < 0.05 was defined as statistical significance.

",Solves for sample size (often called a priori),NA,No,Yes,Yes,3.1.9.4,Yes,0.829,Yes (0.05),NA,Yes,8,No,,,No,,ANOVA,,NA,,No,,No justification or basis is reported,NA,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",,"Yes, but I cannot reasonably assume which option they used.",Yes,,Unsure (there's not enough information to reasonably code yes or no).,very small sample size 8 is way too small,,,
138,RTT,2,NA,PMC8718735,No,Include,Non-human animals (this includes both in vivo and in vitro studies),NA,Animal Nutrition,,2022,6.383,"Power analyses calculated before the start of the experiment identified a minimum total sample of 8 cows. Each group was to have a power of 82.9% with a type I error of 5% using G∗Power 3.1.9.4 based on F-test of repeated measures between factors ANOVA. The average ruminal pH and VFA were analyzed by One-way repeated measures ANOVA in IBM statistics SPSS V26.0 (Chicago, IL, USA). The models included the main effects of the group (SUS vs TOL), the cow was considered as the random effect, and the hours after morning feeding was considered as the repeated measured. The effects were deemed significant at P < 0.05.",Solves for sample size (often called a priori),NA,No,Yes,Yes,3.1.9.4,Yes,0.829,Yes (0.05),NA,Yes,8,f,,,No,,ANOVA,,NA,"Their power analysis contradicts itself. It says one-way, but the mentions two factors (condition and time). So I don't know which statistical test to choose in GPower. ",No,,No justification or basis is reported,NA,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",,"Yes, but I cannot reasonably assume which option they used.",No,I can't find anywhere in the article that they performed an ANOVA.,Unsure (there's not enough information to reasonably code yes or no).,,,I imagine they used the default ANOVA option to end up with a sample size of only 8.,
